I,Q
0.5268,-0.24217
0.65757,-1.0926
0.5606,-1.0375
0.78444,-0.6928
0.17617,0.96185
-0.15313,0.37503
0.52527,0.33405
-0.78402,0.93036
-0.6526,0.89879
0.23941,1.1846
-0.39428,-0.060462
0.25723,-0.52745
1.2318,0.30677
1.017,-0.39462
0.84833,-0.94076
0.52314,0.42335
-0.078285,0.59155
-0.95525,0.15176
-0.23643,0.70739
0.96583,0.79666
0.047355,0.82155
-0.53109,0.28519
-0.78652,-0.78063
-0.71184,0.46062
-0.36278,0.95989
-0.64961,-0.49812
0.67135,-0.44576
1.0629,-0.58822
-0.051236,-0.70518
-0.6977,-0.064608
-0.5464,-0.74589
1.0917,-0.73722
0.6043,-0.53093
-0.36832,-0.60875
-0.53409,0.59687
-0.97296,-0.059072
0.14089,-1.3601
-0.4533,-0.8187
-1.0401,0.26331
-0.16535,1.3763
-0.91027,0.32762
-0.48334,-0.97901
-0.40169,0.1657
-0.031018,0.75435
0.95061,0.99695
-0.39942,0.90905
-0.85549,-0.050406
-0.3929,0.40257
0.48223,0.9799
0.8815,0.6909
-0.53071,0.53968
-0.18347,-0.63553
-0.19625,-1.0249
-1.0613,0.34078
-0.62521,-0.10319
-0.097535,-0.82304
1.0679,-0.44317
0.54981,-0.75213
-0.84967,-0.63326
-0.2107,-0.44839
0.57973,-0.50001
0.57308,0.85423
0.61189,1.0514
1.2733,0.16329
0.55089,0.56941
-0.63439,0.2624
0.42318,-0.84065
0.2393,-1.0401
-0.62438,-1.1116
0.672,-0.70371
1.0008,0.47144
-0.51863,1.1566
-0.249,1.0969
0.62415,0.95695
-0.42506,0.12607
-0.049723,-0.59123
1.2142,-0.14358
0.7767,-0.72115
0.50587,-1.17
0.67112,0.20557
0.098254,0.54629
-0.82539,0.51176
0.094061,0.83577
1.2244,0.43947
0.3097,0.74063
-0.45091,0.39539
-1.0854,-0.41612
-0.43669,0.74759
0.066617,1.0509
-0.77982,-0.23174
0.45248,-0.60083
0.81127,-0.90226
-0.25321,-0.66549
-0.69474,0.1657
-0.79519,-0.52926
0.72106,-1.0469
0.39343,-0.77286
-0.61327,-0.41306
-0.34924,0.75888
-0.98508,0.32463
-0.31148,-1.3019
